Date,Array Type,Array Number,Tree Number,Soil horizon,Live weight (mg),Dead weight (mg),
26/11/2018,Control,3,8301,B,290,195,
26/11/2018,Control,3,8313,O,1385,102,
26/11/2018,Control,3,8313,B,4939,166,
26/11/2018,Control,3,8313,A,189,95,
26/11/2018,Control,3,8357,O,154,91,
26/11/2018,Control,3,8357,A,590,377,
26/11/2018,Control,3,8357,B,745,585,
26/11/2018,Treatment,4,6520,O,551,35,
26/11/2018,Treatment,4,6520,A,90,39,
26/11/2018,Treatment,4,6520,B,111,109,
26/11/2018,Treatment,4,6580,O,572,467,
26/11/2018,Treatment,4,6580,A,2742,187,
26/11/2018,Treatment,4,6580,B,47,1529,
26/11/2018,Treatment,4,6632,O,1332,607,
26/11/2018,Treatment,4,6632,A,144,535,
26/11/2018,Treatment,4,6632,B,1881,95,
26/11/2018,Control,5,91,O,402,43,
26/11/2018,Control,5,91,A,270,0,
26/11/2018,Control,5,91,B,2765,62,
26/11/2018,Control,5,6382,O,157,925,
26/11/2018,Control,5,6382,A,144,278,
26/11/2018,Control,5,6382,B,26098,20,
26/11/2018,Control,5,6387,O,478,675,
26/11/2018,Control,5,6387,A,927,46,
26/11/2018,Control,5,6387,B,718,8,
26/11/2018,Treatment,6,3750,O,491,162,
26/11/2018,Treatment,6,3750,A,279,15,
26/11/2018,Treatment,6,3750,B,2223,1119,
26/11/2018,Treatment,6,3755,O,286,360,
26/11/2018,Treatment,6,3755,A,157,884,
26/11/2018,Treatment,6,3755,B,1764,361,
26/11/2018,Treatment,6,5850,O,134,502,
26/11/2018,Treatment,6,5850,A,769,19,
26/11/2018,Treatment,6,5850,B,219,41,
26/11/2018,Ghost,7,6017,O,329,376,
26/11/2018,Ghost,7,6017,A,549,12,
26/11/2018,Ghost,7,6017,B,240,334,
26/11/2018,Ghost,7,8313,O,155,113,
26/11/2018,Ghost,7,8313,A,251,34,
26/11/2018,Ghost,7,8313,B,8213,60,
26/11/2018,Ghost,7,8668,O,977,38,
26/11/2018,Ghost,7,8668,A,77,64,
26/11/2018,Ghost,7,8668,B,62,258,
26/11/2018,Ghost,8,3583,O,233,114,
26/11/2018,Ghost,8,3583,A,22,10,
26/11/2018,Ghost,8,3583,B,308,68,
26/11/2018,Ghost,8,3641,O,379,172,
26/11/2018,Ghost,8,3641,A,60,87,
26/11/2018,Ghost,8,3641,B,23,585,
26/11/2018,Ghost,8,3643,O,267,8,
26/11/2018,Ghost,8,3643,A,4829,235,
26/11/2018,Ghost,8,3643,B,379,259,
26/11/2018,Ghost,9,7331,O,750,21,
26/11/2018,Ghost,9,7331,A,3479,18,
26/11/2018,Ghost,9,7331,B,5550,530,
26/11/2018,Ghost,9,7333,O,671,97,
26/11/2018,Ghost,9,7333,A,499,43,
26/11/2018,Ghost,9,7333,B,3226,807,
26/11/2018,Ghost,9,7486,O,2072,680,
26/11/2018,Ghost,9,7486,A,336,138,
26/11/2018,Ghost,9,7486,B,40,47,
25/03/2019,Treatment,1,8433,O,514,76,
25/03/2019,Treatment,1,8433,A,268,25,
25/03/2019,Treatment,1,8433,B,166,103,
25/03/2019,Treatment,1,8446,O,290,187,
25/03/2019,Treatment,1,8446,A,120,75,
25/03/2019,Treatment,1,8446,B,16125,124,
25/03/2019,Treatment,1,8468,O,435,14,
25/03/2019,Treatment,1,8468,A,3348,18,
25/03/2019,Treatment,1,8468,B,1311,65,
25/03/2019,Control,2,8689,O,124,24,
25/03/2019,Control,2,8689,A,1091,33,
25/03/2019,Control,2,8689,B,479,137,
25/03/2019,Control,2,8668,O,493,112,
25/03/2019,Control,2,8668,A,422,109,
25/03/2019,Control,2,8668,B,578,83,
25/03/2019,Control,2,8749,O,270,5,
25/03/2019,Control,2,8749,A,22,208,
25/03/2019,Control,2,8749,B,727,187,
25/03/2019,Control,3,9301,O,1,30,
25/03/2019,Control,3,9301,A,16,214,
25/03/2019,Control,3,9301,B,562,142,
25/03/2019,Control,3,8301,O,141,112,
25/03/2019,Control,3,8301,A,955,98,
25/03/2019,Control,3,8301,B,4973,212,
25/03/2019,Control,3,8355,O,89,31,L duplicated
25/03/2019,Control,3,8355,A,87,21,
25/03/2019,Control,3,8355,B,1449,4,
25/03/2019,Treatment,4,6580,O,287,84,
25/03/2019,Treatment,4,6580,A,15,8,
25/03/2019,Treatment,4,6580,B,14855,114,
25/03/2019,Treatment,4,6520,O,1627,288,
25/03/2019,Treatment,4,6520,A,55,73,
25/03/2019,Treatment,4,6520,B,89,10,
25/03/2019,Treatment,4,6632,O,482,113,
25/03/2019,Treatment,4,6632,A,228,33,
25/03/2019,Treatment,4,6632,B,1796,44,
25/03/2019,Control,5,6374,O,161,6,
25/03/2019,Control,5,6374,A,134,10,
25/03/2019,Control,5,6374,B,1577,190,
25/03/2019,Control,5,6386,O,198,215,
25/03/2019,Control,5,6386,A,328,89,
25/03/2019,Control,5,6386,B,388,42,
25/03/2019,Control,5,6437,O,634,151,
25/03/2019,Control,5,6437,A,17,51,
25/03/2019,Control,5,6437,B,275,164,
25/03/2019,Treatment,6,5850,O,306,141,
25/03/2019,Treatment,6,5850,A,210,43,
25/03/2019,Treatment,6,5850,B,0,512,
25/03/2019,Treatment,6,5849,O,589,208,
25/03/2019,Treatment,6,5849,A,3027,10,
25/03/2019,Treatment,6,5849,B,45,90,
25/03/2019,Treatment,6,5755,O,221,255,
25/03/2019,Treatment,6,5755,A,1093,90,
25/03/2019,Treatment,6,5755,B,939,199,
25/03/2019,Ghost,7,5883,O,226,215,
25/03/2019,Ghost,7,5883,A,60,98,
25/03/2019,Ghost,7,5883,B,296,231,
25/03/2019,Ghost,7,6015,O,1298,140,
25/03/2019,Ghost,7,6015,A,26,15,
25/03/2019,Ghost,7,6015,B,152,76,
25/03/2019,Ghost,7,6024,O,243,31,
25/03/2019,Ghost,7,6024,A,8,80,
25/03/2019,Ghost,7,6024,B,451,38,
25/03/2019,Ghost,8,3583,O,1017,137,
25/03/2019,Ghost,8,3583,A,135,0,
25/03/2019,Ghost,8,3583,B,738,25,
25/03/2019,Ghost,8,3641,O,5887,56,
25/03/2019,Ghost,8,3641,A,2556,0,
25/03/2019,Ghost,8,3641,B,5,1,
25/03/2019,Ghost,8,9454,O,128,266,
25/03/2019,Ghost,8,9454,A,732,128,
