Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Root previous width (cm),Root current width (cm),Root previous volume (cm3),Root current volume (cm3),Change in volume (cm3),Est change in Biomass (mg),Increase in volume (cm)
Control,2,1,4,43040,43054,218,14,0.786161527,0.409644544,0.018750169,0.027369691,0.000217076,0.000241011,2.39E-05,0.00717,2.39E-05
Control,2,2,1,42907,42930,94,23,0,0.952945212,0,0.031722302,0,0.00075316,0.00075316,0.225948,0.00075316
Control,2,2,2,42907,42930,94,23,0,0.540506373,0,0.022673576,0,0.000218238,0.000218238,0.0654714,0.000218238
Control,2,2,3,42907,42930,94,23,0,0.611772316,0,0.037638752,0,0.000680691,0.000680691,0.2042073,0.000680691
Control,2,2,4,42907,42930,94,23,0,0.747838742,0,0.053720158,0,0.001695011,0.001695011,0.5085033,0.001695011
Control,2,2,5,42907,42930,94,23,0,0.652061844,0,0.074841634,0,0.002868568,0.002868568,0.8605704,0.002868568
Control,2,2,1,42930,42983,147,53,0.952945212,0.952945212,0.031722302,0.031722302,0.00075316,0.00075316,0,0,0
Control,2,2,2,42930,42983,147,53,0.540506373,0.521272089,0.022673576,0.022186532,0.000218238,0.000201527,-1.67E-05,-0.00501,0
Control,2,2,3,42930,42983,147,53,0.611772316,0.668430382,0.037638752,0.032222423,0.000680691,0.000545083,-0.000135608,-0.0406824,0
Control,2,2,4,42930,42983,147,53,0.747838742,0.666228958,0.053720158,0.044371571,0.001695011,0.001030203,-0.000664807,-0.1994421,0
Control,2,2,5,42930,42983,147,53,0.652061844,0.652061844,0.074841634,0.074841634,0.002868568,0.002868568,0,0,0
Control,2,2,1,42983,43054,218,71,0.952945212,0.952945212,0.031722302,0.031722302,0.00075316,0.00075316,0,0,0
Control,2,2,2,42983,43054,218,71,0.521272089,0.533427911,0.022673576,0.016378565,0.000210472,0.000112387,-9.81E-05,-0.02943,0
Control,2,2,3,42983,43054,218,71,0.668430382,0.45793734,0.022186532,0.020302277,0.000258419,0.000148247,-0.000110172,-0.0330516,0
Control,2,2,4,42983,43054,218,71,0.666228958,0.747838742,0.044371571,0.044371571,0.001030203,0.001156398,0.000126195,0.0378585,0.000126195
Control,2,2,5,42983,43054,218,71,0.652061844,0.652061844,0.074841634,0.074841634,0.002868568,0.002868568,0,0,0
Control,2,2,1,43054,43130,294,76,0.952945212,0.952945212,0.031722302,0.031722302,0.00075316,0.00075316,0,0,0
Control,2,2,2,43054,43130,294,76,0.533427911,0.533427911,0.016378565,0.016378565,0.000112387,0.000112387,0,0,0
Control,2,2,3,43054,43130,294,76,0.45793734,0.45793734,0.020302277,0.020302277,0.000148247,0.000148247,0,0,0
Control,2,2,4,43054,43130,294,76,0.747838742,0.747838742,0.044371571,0.044371571,0.001156398,0.001156398,0,0,0
Control,2,2,5,43054,43130,294,76,0.652061844,0.58297841,0.074841634,0.058026319,0.002868568,0.001541673,-0.001326895,-0.3980685,0
Control,2,3,1,42930,42983,147,53,0,2.079132709,0,0.043139807,0,0.003038985,0.003038985,0.9116955,0.003038985
Control,2,3,2,42930,42983,147,53,0,0.391171583,0,0.030433572,0,0.000284553,0.000284553,0.0853659,0.000284553
Control,2,3,2,42983,43040,204,57,0.391171583,0,0.030433572,0,0.000284553,0,-0.000284553,-0.0853659,0
Control,2,4,1,42907,42930,94,23,0,1.664973976,0,0.078355641,0,0.008028564,0.008028564,2.4085692,0.008028564
Control,2,4,5,42863,42907,71,44,0,0.413806359,0,0.03920742,0,0.000499601,0.000499601,0.1498803,0.000499601
Control,2,4,2,42863,42907,71,44,0,0.196321086,0,0.022577171,0,7.86E-05,7.86E-05,0.02358,7.86E-05
Control,2,4,2,42907,42930,94,23,0.196321086,0.630077813,0.022577171,0.03417596,7.86E-05,0.000577997,0.000499402,0.1498206,0.000499402
Control,2,4,2,42930,42983,147,53,0.630077813,0.419290891,0.03417596,0.017851845,0.000577997,0.000104947,-0.00047305,-0.141915,0
Control,2,4,3,42907,42930,94,23,0,0.362740977,0,0.030089088,0,0.000257932,0.000257932,0.0773796,0.000257932
Control,2,4,3,42930,42983,147,53,0.362740977,0.481207502,0.030089088,0.016630672,0.000257932,0.00010453,-0.000153401,-0.0460203,0
Control,2,4,4,42907,42930,94,23,0,0.140564377,0,0.035674883,0,0.000140505,0.000140505,0.0421515,0.000140505
Control,2,4,4,42930,42983,147,53,0.140564377,1.133301332,0.035674883,0.032266812,0.000140505,0.000926718,0.000786213,0.2358639,0.000786213
Control,2,5,1,42907,42930,94,23,0,0.231558211,0,0.019778765,0,7.11E-05,7.11E-05,0.02133,7.11E-05
Control,2,5,1,42930,42983,147,53,0.231558211,0.36294994,0.019778765,0.026144352,7.11E-05,0.000194846,0.000123701,0.0371103,0.000123701
Control,2,5,1,42983,43054,218,71,0.36294994,0.626817317,0.026144352,0.028626722,0.000194846,0.000403435,0.000208589,0.0625767,0.000208589
Control,2,5,1,43054,43130,294,76,0.626817317,0.777509407,0.028626722,0.020469741,0.000403435,0.000255871,-0.000147565,-0.0442695,0
Control,2,5,2,42907,42930,94,23,0,0.465437059,0,0.032866139,0,0.000394865,0.000394865,0.1184595,0.000394865
Control,2,5,2,42930,42983,147,53,0.465437059,0.473830389,0.03274752,0.029433208,0.00039202,0.000322395,-6.96E-05,-0.02088,0
Control,2,5,2,42983,43054,218,71,0.473830389,0.331528017,0.029433208,0.023205296,0.000322395,0.000140212,-0.000182183,-0.0546549,0
Control,2,5,2,43054,43130,294,76,0.331528017,0.345181559,0.02320557,0.024686705,0.000140215,0.00016522,2.5E-05,0.0075,2.5E-05
Control,2,5,2,43130,43178,342,48,0.345181559,0.699753582,0.024686705,0.032854661,0.00016522,0.000593238,0.000428018,0.1284054,0.000428018
Control,2,5,3,42930,42983,147,53,0,1.289458163,0,0.031243161,0,0.000988569,0.000988569,0.2965707,0.000988569
Control,2,5,3,42983,43130,294,147,1.289458163,0.771487759,0.031243161,0.030755281,0.000988569,0.000573137,-0.000415432,-0.1246296,0
Control,2,5,4,42907,42930,94,23,0,0.15727468,0,0.018222188,0,4.1E-05,4.1E-05,0.0123,4.1E-05
Control,2,6,1,42836,42863,27,27,1.113432903,1.101884377,0.03088156,0.015509743,0.000833974,0.000208178,-0.000625796,-0.1877388,0
Control,2,6,1,42863,42907,71,44,1.101884377,0,0.015509743,0,0.000208178,0,-0.000208178,-0.0624534,0
Control,2,6,2,42836,42863,27,27,0.407824092,0.3303792,0.034050084,0.025236391,0.000371363,0.000165256,-0.000206107,-0.0618321,0
Control,2,6,2,42863,42907,71,44,0.3303792,0,0.025236391,0,0.000165256,0,-0.000165256,-0.0495768,0
Control,2,6,3,42836,42863,27,27,0.439435245,0.466716612,0.068260659,0.034706799,0.001608147,0.000441542,-0.001166605,-0.3499815,0
Control,2,6,3,2,42907,71,42905,0.466716612,0,0.034706799,0,0.000441542,0,-0.000441542,-0.1324626,0
Control,2,6,4,42836,42863,27,27,1.075772069,1.057757884,0.014873301,0.020216508,0.000186907,0.000339538,0.000152631,0.0457893,0.000152631
Control,2,6,4,42863,42907,71,44,1.057757884,0,0.020216508,0,0.000339538,0,-0.000339538,-0.1018614,0
Control,2,6,5,42836,42863,27,27,0.571757021,0.65775932,0.009803409,0.011971305,4.32E-05,7.4E-05,3.09E-05,0.00927,3.09E-05
Control,2,6,5,42863,42907,71,44,0.65775932,0,0.011971305,0,7.4E-05,0,-7.4E-05,-0.0222,0
Control,2,6,6,42836,42863,27,27,0,0.108994799,0,0.018471177,0,2.92E-05,2.92E-05,0.00876,2.92E-05
Control,2,6,6,42863,42907,71,44,0.108994799,0,0.018471177,0,2.92E-05,0,-2.92E-05,-0.00876,0
Control,2,6,7,42836,42863,27,27,0.199731148,0,0.042931454,0,0.000289126,0,-0.000289126,-0.0867378,0
Control,2,6,8,42907,42930,94,23,0,1.121637032,0,0.021081287,0,0.000391504,0.000391504,0.1174512,0.000391504
Control,2,6,9,42907,42930,94,23,0,0.464094551,0,0.024167095,0,0.000212885,0.000212885,0.0638655,0.000212885
Control,2,6,10,42907,42930,94,23,0,0.533625921,0,0.025763039,0,0.000278177,0.000278177,0.0834531,0.000278177
Control,2,7,1,42907,42930,94,23,0,0.248397322,0,0.201027935,0,0.007884054,0.007884054,2.3652162,0.007884054
Control,2,7,2,42907,42930,94,23,0,0.82721746,0,0.029408166,0,0.000561882,0.000561882,0.1685646,0.000561882
Control,2,7,3,42907,42930,94,23,0,1.146314519,0,0.016866371,0,0.000256116,0.000256116,0.0768348,0.000256116
Control,2,7,4,42907,42930,94,23,0,1.099258534,0,0.055713071,0,0.002679809,0.002679809,0.8039427,0.002679809
Control,2,8,1,42907,42930,94,23,0,0.78102059,0,0.050039171,0,0.001535934,0.001535934,0.4607802,0.001535934
Control,2,8,1,43130,43178,342,48,0.78102059,0.632281382,0.050039171,0.048155113,0.001535934,0.001151556,-0.000384378,-0.1153134,0
Control,3,3,1,42933,42984,148,51,0,0.427107074,0,0.019953274,0,0.000133553,0.000133553,0.0400659,0.000133553
